,Path,distancia,unidade_tempo,tempo,horas_cst1,horas_cst2,horas_cst3,horas_cst4,horas_cst5,area,detalhe,perspectiva_recompra,oportunidade,urgencia,tipo_empresa,risco,preço,Ano
2,.\Não Vendidas\Cereal III - Logística\Precificação Cereal III (1.61).xlsx,10.0,Por semanas,10.0,10.0,15.0,,,,Logística,,Baixo,Muito Alto,Médio,Comércio/Serviço,Médio,11600.0,2016
3,.\Não Vendidas\Chikorita - SAG\Cópia de Precificação vegano.xlsx,10.0,Por semanas,14.0,5.0,5.0,0.0,,,SAG,Planejamento,Alto,Alto,Alto,Comércio/Serviço,Médio,4400.0,2016
4,.\Não Vendidas\Continente II - PE\Precificação Continente 2 + orientador.xlsx,10.0,Por semanas,12.0,15.0,5.0,15.0,,,PE,,Baixo,Médio,Baixo,Comércio/Serviço,Médio,7360.0,2016
5,.\Não Vendidas\Desafio Fejesc - Balaclava\Precificação Acompanhamento 16.62.xlsx,10.0,Por semanas,16.0,0.0,10.0,10.0,0.0,,Plano de Marketing,,Baixo,Médio,Médio,Comércio/Serviço,Alto,6840.0,2016
6,.\Não Vendidas\Encalhada- Layout+5s\precificação encalhada 5s.xlsx,10.0,Por semanas,4.0,15.0,0.0,,,,5S,,Médio,Médio,Baixo,Comércio/Serviço,Baixo,1960.0,2016
7,.\Não Vendidas\Encalhada- Layout+5s\precificação encalhada layout.xlsx,10.0,Por semanas,1.0,10.0,10.0,,,,Layout,,Muito Alto,Médio,Baixo,Comércio/Serviço,Baixo,560.0,2016
8,.\Não Vendidas\Estaca\Precificação Estaca (1).xlsx,10.0,Por semanas,14.0,0.0,15.0,15.0,,,PCP,Planejamento,Muito Alto,Alto,Alto,Indústria,Alto,10290.0,2016
9,.\Não Vendidas\Gráfica II - TRF\Precificação Acompanhamento 1.4 - FAZER DOWNLOAD.xlsx,10.0,Por semanas,7.0,20.0,5.0,,,,TRF,,Médio,Médio,Médio,Comércio/Serviço,Alto,5760.0,2016
10,.\Não Vendidas\Gênio - Gestão de Estoques\Precificação Acompanhamento 1.4 - FAZER DOWNLOAD.xlsx,10.0,Por semanas,11.0,0.0,15.0,,,,Logística,,Baixo,Médio,Alto,Comércio/Serviço,Médio,42.0,2016
11,.\Não Vendidas\Gênio - Gestão de Estoques\precificação validada LogicaE.xlsx,10.0,Por semanas,11.0,15.0,10.0,,,,Logística,,Baixo,Médio,Médio,Indústria,Médio,10660.0,2016
12,.\Não Vendidas\Hurra - Plano de MKT\Precificação hurra duas juntas.xlsx,10.0,Por semanas,20.0,10.0,0.0,5.0,15.0,10.0,Plano de Marketing,,Médio,Médio,Médio,Indústria,Médio,14120.0,2016
13,.\Não Vendidas\Hurra - Plano de MKT\Precificação hurra uma.xlsx,10.0,Por semanas,14.0,10.0,0.0,5.0,15.0,10.0,Plano de Marketing,,Médio,Médio,Médio,Indústria,Médio,10330.0,2016
14,.\Não Vendidas\Mais Caliente II - SAG\Precificação Mais Caliente.xlsx,10.0,Por semanas,9.0,20.0,20.0,5.0,,,SAG,,Baixo,Baixo,Baixo,Comércio/Serviço,Baixo,1860.0,2016
15,.\Não Vendidas\MaxCream - SAG\Precificação MaxCream (1).xlsx,10.0,Por semanas,10.0,0.0,15.0,5.0,,,SAG,,Baixo,Médio,Médio,Comércio/Serviço,Médio,3900.0,2016
16,.\Não Vendidas\MC - 5S\precificação MC.xlsx,10.0,Por semanas,9.0,15.0,15.0,,,,5S,,Baixo,Baixo,Baixo,Indústria,Baixo,3300.0,2016
17,.\Não Vendidas\Nicho - PE\Precificação nicho.xlsx,10.0,Por semanas,9.0,0.0,15.0,5.0,,,PE,,Baixo,Alto,Baixo,Comércio/Serviço,Baixo,5050.0,2016
18,.\Não Vendidas\Sinais - 5S + Layout + Estratégia\Precificação Sinais.xlsx,10.0,Por semanas,15.0,0.0,10.0,15.0,,,5S,,Baixo,Alto,Baixo,Indústria,Muito Alto,6910.0,2016
19,.\Não Vendidas\Tião - Logística\Precificação Acompanhamento 1.1 - FAZER DOWNLOAD (1)(1).xlsx,10.0,Por semanas,4.0,20.0,10.0,,,,Logística,,Baixo,Médio,Alto,Comércio/Serviço,Médio,6830.0,2016
20,.\Não Vendidas\Vegano - SAG\Precificação vegano.xlsx,10.0,Por semanas,14.0,5.0,5.0,0.0,,,SAG,Planejamento,Alto,Alto,Alto,Comércio/Serviço,Médio,4400.0,2016
22,.\Não Vendidas\Versátil - Map. de Proc. + Melhoria\Precificação Versátil.xlsx,10.0,Por semanas,10.0,15.0,15.0,,,,MP,Melhoria de Processo,Baixo,Alto,Baixo,Comércio/Serviço,Médio,5320.0,2016
23,.\Não Vendidas\Viveiro- SAG\precificação Viveiro.xlsx,10.0,Por semanas,14.0,15.0,15.0,5.0,,,SAG,,Médio,Muito Alto,Médio,Indústria,Médio,7220.0,2016
24,.\Não Vendidas\Vrum - Melhoria de Processos\Precificacao vrum.xlsx,10.0,Por semanas,8.0,15.0,15.0,15.0,,,MP,Melhoria de Processo,Médio,Alto,Médio,Indústria,Médio,8310.0,2016
25,.\Vendidas\Açaí - Custos Logísticos\Processo de Venda\Precificação Acompanhamento 1.5 - acai sag(1).xlsx,10.0,Por semanas,7.0,20.0,0.0,,,,SAG,,Muito Alto,Médio,Médio,Indústria,Baixo,3150.0,2016
26,.\Vendidas\Açaí - Custos Logísticos\Processo de Venda\Precificação Acompanhamento 1.5 - acai sag.xlsx,10.0,Por semanas,7.0,20.0,0.0,,,,SAG,,Muito Alto,Médio,Médio,Indústria,Baixo,3150.0,2016
27,.\Vendidas\EcoLab - 5S\Venda\Precificação 5s.xlsx,10.0,Por semanas,11.0,15.0,,15.0,,,5S,,Médio,Muito Alto,Baixo,Indústria,Médio,5060.0,2016
29,.\Vendidas\EcoLab - 5S\Venda\Precificação logistica.xlsx,10.0,Por semanas,9.0,15.0,15.0,,,,Logística,,Baixo,Médio,Alto,Indústria,Muito Alto,16330.0,2016
30,.\Vendidas\Fermentada - Logística\Venda\Precificação Fermentada.xlsx,10.0,Por semanas,6.0,15.0,,,,,Logística,,Alto,Médio,Baixo,Comércio/Serviço,Médio,2460.0,2016
31,.\Vendidas\Safari - PCP\Venda\Precificação Safari.xlsx,10.0,Por semanas,10.0,15.0,15.0,,,,PCP,Planejamento,Muito Alto,Médio,Alto,Comércio/Serviço,Médio,7590.0,2016
