Hospital II - Análise de Mercado,1
Catioro - Melhoria,1
Scrapbook - PE,1
Via mãe T - Planilha,1
Construção VI - MP,1
Sol - PE,1
Creme III - Ass - TRF,1
Stark II - TRF,1
Reação - 5s,1
Zika T - SAG,1
JôSoares II - Análise Financeira,1
Arco - PCP,1
Quilha - Layout,1
Nicho - PE,1
Amor - Plano de MKT,1
Mozart III - Layout de Armázem,1
Joaçaba - Layout e Lean ,1
Calha - Layout,1
Madrinha - Plano de MKT,1
Bula II - TRF,1
Beta II - PCP,1
Depois - SAG e Layout,1
Lancha - Melhoria de Processos,1
Diabetes - Análise de viabilidade,1
Bolacha - Plano de MKT,1
Cortina IV - Análise de Transporte para Novos Mercados,1
Ravioli - SAG + MP,1
Favorável - MP-Melhoria,1
Metálica - MFV e Melhorias,1
Carne - Plano de MKT,1
Verdinha - SAG,1
Boat III - MP e Assessoria 5s,1
Fashion - PCP,1
Foto - Plano de MKT Estratégico,1
Açaí II - Gestão de Estoques e Previsão de Demanda,1
Suits - PE,1
Mudero - Fluxo de Caixa,1
Lhama - 5S,1
Spaço 4 - Melhoria de processo + MP,1
AutoControle II - MP,1
Pitanga - Treinamento,1
Made in Home - Gestão da Rotina,1
Chuva - Qualidade,1
Água VI - Lean Thinking,1
Queimado - Logística e Gerenciamento de Projetos,1
